Company,Founder/CEO,Approx no. Employees,Change In Rank,Years on Fortune 500,BW logo URL,White on Black,Theme color,Theme Image
Broadcom,"Henry Thompson Nicholas II, Hock Tan","20,000",–,1,https://static-00.iconduck.com/assets.00/broadcom-icon-512x512-e36zj9t6.png,,,
Wistron,"Simon Lin, Jeff Lin","65,000",-1,8,https://eyesafe.com/wp-content/uploads/2020/05/Wlogo_BG_Rwhite-1024x488.png,TRUE,,
Anhui Conch Group,Jun Yang,"61,637",-111,5,https://lobbymap.org/site//data/001/361/1361241.png,,,
Beijing Jianlong Heavy Industry Group,Zhang Zhixiang,"56,300",-102,3,https://www.chinacnd.com/upfiles/business/202406/2024068465823371.png,,,
Hunan Iron & Steel Group,Mao Hui Ren,"35,492",-45,2,https://nwzimg.wezhan.net/contents/sitefiles3605/18026178/images/8912469.png,,,
Meituan,"Wang Xing,Wang Xing","91,932",–,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQFUNgOmmbhII46vRkzWkjZFF3Lul9eOaWicw&s,,,
Lu’an Chemical Group,Wang Zhiqing,"109,599",-46,10,https://www.carbonenergy.com.cn/assets/16-C5fLzSED.jpg,,,
Compass Group,"Jack Bateman, Dominic Blakemore","513,707",–,21,"https://img.vendingmarketwatch.com/files/base/cygnus/vmw/image/2011/06/compassgrouplogo_10286798.png?auto=format,compress&fit=max&q=45&w=640&width=640",,,
Aisin,"Kiichiro Toyoda, Moritaka Yoshida","116,649",-61,22,https://www.aisin.com.sg/wp-content/themes/aisin/img/tempt/logo_new.png,TRUE,,
Canadian Natural Resources,"-N. Murray Edwards, Markin, Tim McKay","10,035",–,1,https://i.pinimg.com/736x/d1/68/16/d168164e078bfe1a875a068dbf9146d0.jpg,,,
SAP,"Dietmar Hopp, Christian Klein","111,961",-39,8,https://theartian.com/wp-content/uploads/2021/05/SAP-LOGO-BLACK.png,,,
Starbucks,"Jerry Baldwin, Zev Siegl, Gordon Bowker, Laxman Narasimhan","402,000",19,3,https://cdn.iconscout.com/icon/free/png-256/free-starbucks-3215495-2673913.png?f=webp&w=256,,,
Metro,"Ernst Schmidt, Wilhelm Schmidt-Ruthenbeck, Steffen Greubel","86,910",8,6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTu2tLDxmj2LR7MIODo3DU8WeQDuwhuavnwKw&s,,,
Molina Healthcare,"C. David Molina (deceased), Joe Zubretsky","15,000",–,1,https://companieslogo.com/img/orig/MOH_BIG.D-5e2f9746.png?t=1720244492,TRUE,,
Tongwei Group,"Liu Hanyuan,Shu Qi Liu","42,381",–,1,https://dedjh0j7jhutx.cloudfront.net/1693310889635127296%2F26e025bf-8629-4ae1-997b-5b78e3830d06.webp,,,
Uber Technologies,"Garrett Camp, Travis Kalanick, Dara Khosrowshahi","32,800",–,1,https://upload.wikimedia.org/wikipedia/commons/c/cc/Uber_logo_2018.png,,,
New China Life Insurance,Yu Cheng Yang,"32,564",-62,5,https://media.licdn.com/dms/image/C4D0BAQEso0BF8rmsOg/company-logo_200_200/0/1631353107310?e=2147483647&v=beta&t=lF4XuCCZXgH4eroS9JHCbgb_eiXBR8xFPI1yyV9QLiI,,,
Luxshare Precision Industry,"Grace Wang, Guo Dongsheng, Wang Laichun","236,932",–,1,https://r.ipsearch.vn/trademarks/2019/4201936212.jpg,,,
Philip Morris International,"Philip Morris (deceased), Jacek Olczak","79,800",-26,15,https://seeklogo.com/images/P/philip-morris-logo-D236BDEDBE-seeklogo.com.png,,,
CJ Corp.,"Lee Byung-chul, Sohn Kyung-Shik","67,361",-9,6,https://media.licdn.com/dms/image/C560BAQHRH_JqjRph_g/company-logo_200_200/0/1647330068534/cj_corporation_logo?e=2147483647&v=beta&t=s5ZcWIT5cwK_oOecDfYPkdnBCfyg0SSzcSIJwtUO1qQ,,,
Medtronic,"Earl Bakken (deceased), Palmer Hermundslie (deceased), Geoff Martha","95,000",-9,7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRjgc1gNM036s4mkTqBnwgfpOGgv92zr-pnzw&s,TRUE,,
China National Aviation Fuel Group,Zhou Jiping,"13,796",-69,12,https://img.imsilkroad.com//a/10005/201907/5efb49e7a7e0204209f133f7cc1f04a8.jpeg,,,
Netflix,"Reed Hastings, Marc Randolph (both co-founders), Greg Peters, Ted Sarandos","12,800",-3,3,https://images.ctfassets.net/y2ske730sjqp/2psbeTanEkNNtnizCr9IrG/a1ba11ec4046fbcef6b217ef4ca242fb/BrandAssets_Logos_06-SpecialUse_02.jpg?w=460,,,
Migros Group,"Gottlieb Duttweiler (deceased), Fabrice Zumbrunnen","70,880",-35,29,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Migros.svg/440px-Migros.svg.png,,,
NRG Energy,"Seth Allen,Larry Coben","6,603",–,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRfjSoEUpv8KU3G6lyJR55rrfIqXOTZw1n2Iw&s,,,
Mondelēz International,"James L. Kraft (deceased), Thomas H. McInnerney (deceased), Dirk Van de Put","91,000",11,16,https://1000logos.net/wp-content/uploads/2020/09/Mondelez-Logo.jpg,,,
Air Liquide,"Paul Delorme(deceased), François Jackow","67,109",–,3,https://www.elneo.com/sites/default/files/customer-logo/logo.png,,,
Danaher,"Steven Rales, Mitchell Rales, Rainer M. Blair","80,000",-3,2,https://trama-static.s3.eu-central-1.amazonaws.com/images/hall-of-fame/logos/181-logo.png,,,
Siemens Energy,"Werner von Siemens(deceased), -Ing. Christian Bruch","92,000",-67,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmN13NBfQ0hWSABpQDihMU4R4mvPsf-I8log&s,,,
Salesforce,"Marc Russell Benioff, Marc Russell Benioff","79,390",–,1,https://static-00.iconduck.com/assets.00/salesforce-icon-2048x1435-wvc0jgh9.png,,,
Paramount Global,"Adolph Zukor, Bob Bakish","27,400",-9,15,https://i.pinimg.com/736x/70/d5/c0/70d5c0265fb175ec19ba9c0ab7d3292d.jpg,,,
Chengdu Xingcheng Investment Group,Ren Zhineng,"39,094",-27,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTInTogE3Hj2MmB65ONm1lKAeKM7hnG_YWSSQ&s,,,
Bridgestone,"Shojiro Ishibashi(deceased), Shuichi Ishibashi","129,260",-10,29,https://cdn-icons-png.freepik.com/512/5968/5968633.png,,,
Guangxi Investment Group,Lian Zhou,"33,856",-50,4,https://cdn.tracxn.com/images/seo/social/venture-capital/guangxi-investment-group-team-1719359199763.webp,,,
Samsung Life Insurance,Jeon Young Muk,"5,224",-32,27,https://www.logo.wine/a/logo/Samsung_Fire_%26_Marine_Insurance/Samsung_Fire_%26_Marine_Insurance-Logo.wine.svg,,,
Sumitomo Life Insurance,Yukinori Takada,"45,336",-55,29,https://cdn.worldvectorlogo.com/logos/sumitomo.svg,,,
CarMax,"Richard L. Sharp(deceased), Bill Nash","30,621",-66,2,https://images.seeklogo.com/logo-png/52/1/carmax-logo-png_seeklogo-520364.png,,,
Mitsubishi Heavy Industries,"Iwasaki Yatarō, Seiji Izumisawa","76,859",-81,29,https://img2.freepng.fr/20180816/opj/kisspng-mitsubishi-motors-mitsubishi-heavy-industries-ltd-5b7560b71c34c8.3176291115344191271155.jpg,,,
Xinjiang Guanghui Industry Investment,Xiao Yong Wu,"74,069",-47,,"https://images.crunchbase.com/image/upload/c_pad,h_256,w_256,f_auto,q_auto:eco,dpr_1/63d47042dbd24ed894fe",,,
